,时间,识别号,胜负退,阵线,数量
439,93000100,367253,B,140400,100
440,93000100,367259,B,140100,200
441,93000100,367271,B,140800,500
442,93000100,367349,B,140000,1000
443,93000100,367382,S,139900,5000
444,93000100,367393,B,141000,1000
445,93000100,367407,B,140400,500
446,93000100,367411,S,151400,3700
447,93000100,367509,B,140200,1500
448,93000100,367645,S,138700,2000
449,93000100,367736,B,140400,400
450,93000100,367803,B,140000,300
451,93000100,367813,S,140000,5300
452,93000100,367835,S,137100,300
453,93000100,367882,B,143500,100
454,93000100,367950,B,141800,800
455,93000100,368147,B,140000,1200
456,93000100,368251,S,139900,5000
457,93000100,368355,B,140000,4200
458,93000100,368365,B,142000,2500
459,93000100,368462,B,140000,800
460,93000100,368464,B,163200,900
461,93000100,368487,S,139200,400
462,93000100,368527,S,163200,6700
463,93000100,368572,B,140200,100
464,93000110,107096,C,136000,200
465,93000110,159014,C,150500,3000
466,93000110,211491,C,150000,7300
467,93000110,218252,C,131000,100
468,93000110,250801,C,147000,100
469,93000110,368645,B,142000,700
470,93000110,368696,B,140100,200
471,93000110,368717,B,140000,100
472,93000110,368750,S,143800,1000
473,93000110,368845,B,145000,1400
474,93000110,368963,S,141900,1000
475,93000110,368999,S,139600,1000
476,93000110,369051,B,137300,200
477,93000110,369131,B,142800,800
478,93000110,369192,B,140000,200
479,93000110,369208,S,141000,100
480,93000110,369223,B,140000,200
481,93000110,369264,B,140000,200
482,93000110,369303,S,163200,900
483,93000110,369345,S,139800,100
484,93000110,369437,B,140000,1100
485,93000110,369488,S,140000,500
486,93000110,369537,B,139200,200
487,93000110,369544,B,130000,300
488,93000110,369588,B,140000,100
489,93000110,369592,B,140000,200
490,93000110,369618,S,140100,1000
491,93000110,369628,S,135000,10200
492,93000110,369649,B,140500,800
493,93000110,369710,B,140400,3200
494,93000110,369728,B,139500,300
495,93000110,369741,B,138100,1000
496,93000110,369759,B,136000,600
497,93000110,369827,B,140000,300
498,93000110,369841,B,140000,200
499,93000110,369846,B,140000,84100
500,93000110,369860,B,136900,1500
501,93000110,369868,B,138500,1000
502,93000110,369873,S,139900,9600
503,93000110,369937,B,136000,500
504,93000110,369945,B,141000,800
505,93000110,370001,B,163200,300
506,93000110,370057,B,142700,400
507,93000110,370147,S,140600,4000
508,93000110,370154,S,141000,100
509,93000110,370168,B,130600,500
510,93000110,370232,S,141000,1300
511,93000110,370245,B,138000,10000
512,93000110,370311,B,140100,100
513,93000110,370393,B,148100,700
514,93000110,370411,B,140000,400
515,93000120,257351,C,147900,4100
516,93000120,277798,C,142800,2000
517,93000120,370451,B,140000,100
518,93000120,370470,S,139900,100
519,93000120,370476,B,140500,2200
520,93000120,370486,S,139900,1900
521,93000120,370510,B,140000,2000
522,93000120,370735,B,144900,1000
523,93000120,370783,S,139500,100
524,93000120,370785,B,144200,200
525,93000120,370817,S,139900,3000
526,93000120,370866,B,140000,100
527,93000120,370887,S,140400,1000
528,93000120,370990,S,161800,2000
529,93000120,371037,B,139300,1000
530,93000120,371131,B,130000,1000
531,93000120,371162,S,139900,23300
532,93000120,371182,S,139900,5500
533,93000120,371187,S,139900,1200
534,93000120,371391,B,140300,200
535,93000120,371522,B,140000,500
536,93000120,371588,B,140000,1000
537,93000120,371592,B,141000,100
538,93000120,371610,S,108800,2300
539,93000120,371616,B,139500,100
540,93000120,371682,B,142800,10400
541,93000120,371740,S,143500,15000
542,93000120,371765,S,143600,15000
543,93000120,371766,S,144000,15000
544,93000120,371767,S,144100,15000
545,93000120,371768,S,144200,15000
546,93000120,371769,S,144500,15000
547,93000120,371770,S,144600,15000
548,93000120,371771,S,144700,15000
549,93000120,371772,S,145000,15000
550,93000120,371773,S,145100,15000
551,93000120,371774,S,145200,15000
552,93000120,371775,S,145600,15000
553,93000120,371776,S,145700,15000
554,93000120,371777,S,145800,15000
555,93000120,371778,S,146200,15000
556,93000120,371779,S,146300,15000
557,93000120,371780,S,146400,15000
558,93000120,371781,S,146800,15000
559,93000120,371782,S,146900,15000
560,93000120,371783,S,147000,15000
561,93000120,371784,S,147300,15000
562,93000120,371785,S,147400,15000
563,93000120,371787,S,147500,15000
564,93000120,371788,S,147800,15000
565,93000120,371789,S,147900,15000
566,93000120,371790,S,148000,15000
567,93000120,371791,S,148100,15000
568,93000120,371792,S,148200,15000
569,93000120,371793,S,148300,15000
570,93000120,371941,S,149100,1100
571,93000120,371958,B,140000,300
572,93000120,371996,B,143900,12200
573,93000130,166340,C,150200,6700
574,93000130,207932,C,154800,1800
575,93000130,246190,C,149600,100
576,93000130,268976,C,140100,100
577,93000130,283139,C,141500,700
578,93000130,372065,B,140500,2500
579,93000130,372091,B,141700,1200
580,93000130,372146,B,140100,1000
581,93000130,372153,B,136300,300
582,93000130,372190,S,138900,6600
583,93000130,372421,B,140500,2200
584,93000130,372470,S,130000,500
585,93000130,372515,B,140000,4900
586,93000130,372564,B,142000,500
587,93000130,372587,S,143000,1000
588,93000130,372596,B,140000,3500
589,93000130,372619,B,121200,800
590,93000130,372647,B,136800,500
591,93000130,372819,B,140200,1300
592,93000130,372845,B,140200,1500
593,93000130,372862,B,140000,300
594,93000130,372877,S,139100,300
595,93000130,372901,B,131300,100
596,93000130,372968,B,140200,100
597,93000130,373035,B,147700,500
598,93000130,373118,B,131200,1000
599,93000130,373232,B,140100,100
600,93000130,373350,B,142000,1800
601,93000130,373413,B,141000,1000
602,93000130,373433,S,140000,10000
603,93000130,373452,B,139000,500
604,93000130,373475,B,139100,500
605,93000130,373540,B,140000,1000
606,93000130,373568,B,140000,200
607,93000130,373571,B,141300,2200
608,93000140,243498,C,136000,100
609,93000140,258071,C,142000,8400
610,93000140,258913,C,149000,100
611,93000140,286502,C,141500,100
612,93000140,293361,C,140800,6000
613,93000140,373616,B,141000,3600
614,93000140,373628,B,140000,300
615,93000140,373643,S,140200,1000
616,93000140,373647,S,137000,1300
617,93000140,373689,S,163100,1000
618,93000140,373747,B,142000,1000
619,93000140,373759,S,163200,1200
620,93000140,373771,B,140700,700
621,93000140,373860,S,135000,1700
622,93000140,373869,S,138000,1500
623,93000140,373951,B,140400,5000
624,93000140,374183,B,140000,1400
625,93000140,374371,B,140500,100
626,93000140,374421,B,141200,1500
627,93000140,374424,S,139100,10000
628,93000140,374429,B,141500,100
629,93000140,374480,B,140000,300
630,93000140,374550,B,123000,1000
631,93000140,374664,S,139700,1000
632,93000140,374682,B,136000,500
633,93000140,374711,S,139800,200
634,93000140,374738,B,136000,600
635,93000140,374743,B,140700,2300
636,93000140,374759,B,140000,1400
637,93000140,374872,B,139000,1000
638,93000140,374875,S,154700,400
639,93000140,374878,B,120100,900
640,93000140,374906,B,142600,1300
641,93000140,374929,B,139100,200
642,93000140,374935,B,136700,400
643,93000140,374990,S,150000,92900
644,93000140,375015,B,140000,1000
645,93000140,375090,S,138800,1000
646,93000140,375103,B,140000,300
647,93000140,375110,B,141800,1200
648,93000140,375204,B,132200,500
649,93000140,375241,B,140000,100
650,93000140,375381,B,140000,400
651,93000140,375383,B,125300,5000
652,93000140,375409,B,140000,200
653,93000140,375425,B,138000,100
654,93000140,375499,B,138500,800
655,93000140,375578,B,140100,900
656,93000140,375611,B,136100,4000
657,93000140,375644,S,137600,1400
