fips,cases,deaths,date
39073,4.778657631947355,3.021189299069938,2022-01-26
39075,4.69240623483363,3.2227164711475833,2022-01-26
39077,5.145631415290327,3.271841606536499,2022-01-26
39079,4.90200289135073,3.0899051114393976,2022-01-26
39081,5.140539466972342,3.4199557484897576,2022-01-26
39083,5.0897285330747355,3.311753861055754,2022-01-26
39085,5.678727736810822,3.803457115648414,2022-01-26
39087,5.19159072637921,3.290034611362518,2022-01-26
39089,5.592787228303481,3.622214022966295,2022-01-26
39091,4.982632994394849,3.173186268412274,2022-01-26
39093,5.809263350635992,3.9216864754836016,2022-01-26
39095,5.975036397602461,4.07809415040641,2022-01-26
39097,4.961848059018324,3.0530784434834195,2022-01-26
39099,5.711790362908568,3.9735896234272565,2022-01-26
39101,5.275403502745403,3.374748346010104,2022-01-26
39103,5.589368665059144,3.634477270160731,2022-01-26
39105,4.610021024664144,2.8692317197309762,2022-01-26
39107,4.964165310621735,3.0569048513364723,2022-01-26
39109,5.389732956015455,3.6127838567197355,2022-01-26
39111,4.510946948672972,2.832508912706236,2022-01-26
39113,6.076491163417378,4.220631019448092,2022-01-26
39115,4.473778834646724,2.681241237375587,2022-01-26
39117,4.86693681773164,2.929418925714293,2022-01-26
39119,5.3777614387022625,3.4065401804339546,2022-01-26
39121,4.4795753101749884,2.716003343634799,2022-01-26
39123,4.9046073638154475,3.093421685162235,2022-01-26
39125,4.6349808000512285,2.826074802700826,2022-01-26
39127,4.88275215561308,3.008600171761917,2022-01-26
39129,5.220055760251341,3.2671717284030133,2022-01-26
39131,4.830524514097258,2.959041392321093,2022-01-26
39133,5.513630383252392,3.578639209968072,2022-01-26
39135,4.937517892017346,3.2355284469075487,2022-01-26
39137,4.910837764992683,3.1398790864012365,2022-01-26
39139,5.476208277345551,3.649334858712142,2022-01-26
39141,5.250980807096349,3.416640507338281,2022-01-26
39143,5.126488570700374,3.3138672203691533,2022-01-26
39145,5.269933025967809,3.3344537511509307,2022-01-26
39147,5.085219201044942,3.3159703454569174,2022-01-26
39149,5.023828392534886,3.2041199826559246,2022-01-26
39151,5.889385751369308,4.163459551769989,2022-01-26
39153,6.0385923471397644,4.161966616364074,2022-01-26
39155,5.601712416694041,3.9030899869919433,2022-01-26
39157,5.296950239536639,3.636487896353365,2022-01-26
39159,5.158784517723423,2.924279286061881,2022-01-26
39161,4.788521887222473,3.093421685162235,2022-01-26
39163,4.420120848085703,2.662757831681574,2022-01-26
39165,5.733959220623703,3.6928469192772297,2022-01-26
39167,5.057742155828753,3.2380461031287955,2022-01-26
39169,5.3479346786352595,3.5693739096150456,2022-01-26
39171,4.926959488380276,3.1583624920952493,2022-01-26
39173,5.473297152848887,3.481442628502305,2022-01-26
39175,4.707229419327294,2.9731278535996983,2022-01-26
40001,4.824646414718352,2.8129133566428552,2022-01-26
40003,4.203032887014711,2.0,2022-01-26
40005,4.537693194367391,2.6127838567197355,2022-01-26
40007,3.9304395947666997,2.0,2022-01-26
40009,4.725666660314179,2.9542425094393248,2022-01-26
40011,4.340840549812331,2.5314789170422554,2022-01-26
40013,5.092299476574249,3.0791812460476247,2022-01-26
40015,4.8720396679732865,3.1553360374650614,2022-01-26
40017,5.551083865185779,3.515873843711679,2022-01-26
40019,5.091385542078368,3.3096301674258983,2022-01-26
40021,5.096736260462468,3.1139433523068365,2022-01-26
40023,4.563362409486608,2.724275869600789,2022-01-26
40025,3.700703717145019,1.0,2022-01-26
40027,5.8500393917493,3.829946695941636,2022-01-26
40029,4.14050804303818,2.3010299956639813,2022-01-26
40031,5.460822698802401,3.5289167002776547,2022-01-26
40033,4.0996806411092495,2.380211241711606,2022-01-26
40035,4.605305046141109,2.6020599913279625,2022-01-26
40037,5.192762535405685,3.4578818967339924,2022-01-26
40039,4.8495422520050155,3.1522883443830563,2022-01-26
40041,4.990871404801486,3.2405492482825995,2022-01-26
40043,3.9890046156985366,2.3979400086720375,2022-01-26
40045,3.826722520168992,1.8450980400142567,2022-01-26
40047,5.120211868257074,3.359835482339888,2022-01-26
40049,4.798719685185006,3.0606978403536114,2022-01-26
40051,5.095169351431755,3.3344537511509307,2022-01-26
40053,3.9689496809813423,2.0791812460476247,2022-01-26
40055,4.049218022670181,2.462397997898956,2022-01-26
40057,3.677606952720493,2.0,2022-01-26
40059,3.827369273053825,2.041392685158225,2022-01-26
40061,4.3743816980508825,2.518513939877887,2022-01-26
40063,4.34908316877959,2.6901960800285134,2022-01-26
40065,4.757927183113329,2.963787827345555,2022-01-26
40067,4.068927611682072,2.3010299956639813,2022-01-26
40069,4.432809005033167,2.6901960800285134,2022-01-26
40071,5.02889644513147,3.2624510897304293,2022-01-26
40073,4.551571973674253,2.7481880270062007,2022-01-26
40075,4.218797998111738,2.681241237375587,2022-01-26
40077,4.294245716138118,2.4913616938342726,2022-01-26
40079,5.03402652377511,2.991226075692495,2022-01-26
40081,4.835373452470009,3.0755469613925306,2022-01-26
40083,4.981954444469974,3.1461280356782377,2022-01-26
40085,4.432488255770506,2.4913616938342726,2022-01-26
40093,4.340840549812331,2.5314789170422554,2022-01-26
40095,4.6171052305023785,2.505149978319906,2022-01-26
40097,4.9397687754533495,3.1398790864012365,2022-01-26
40087,5.018700498666243,3.045322978786657,2022-01-26
40089,4.872389388417821,3.1492191126553797,2022-01-26
40091,4.6277753752293025,3.0334237554869494,2022-01-26
40099,4.57275546515422,2.7923916894982534,2022-01-26
40101,5.241222631195891,3.4638929889859074,2022-01-26
40103,4.4171394097273255,2.518513939877887,2022-01-26
40105,4.384353414137506,2.5314789170422554,2022-01-26
40107,4.4965145186977455,2.716003343634799,2022-01-26
40109,6.24608476991942,4.309630167425898,2022-01-26
40111,4.903740940621538,3.1986570869544226,2022-01-26
40113,4.982904117792628,3.1583624920952493,2022-01-26
40115,4.904011883597388,3.041392685158225,2022-01-26
